reference,name,description,local-plan,document-types,documentation-url,document-url,entry-date,start-date,end-date,notes
arun-district-council-local-plan-2011-4,Local Plan Policy Map 3 (West) - Update September 2018 V1,,arun-district-council-local-plan-2011,policies-map,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12920.pdf&ver=13060,2026-01-30,2018-07-18,,
arun-district-council-local-plan-2011-5,Local Plan Policy Map 4 (East) - Update September 2018 V1,,arun-district-council-local-plan-2011,policies-map,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12921.pdf&ver=13061,2026-01-30,2018-07-18,,
arun-district-council-local-plan-2011-6,Adoption Statement,,arun-district-council-local-plan-2011,adoption-statement,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12541.pdf&ver=12559,2026-01-30,2018-07-18,,
arun-district-council-local-plan-2011-7,Inspector's Report (dated 4 July 2018) into the examination of the Arun Local Plan 2011-2031,,arun-district-council-local-plan-2011,inspectors-report,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12488.pdf&ver=12506,2026-01-30,2018-07-18,,
arun-district-council-local-plan-2011-8,Inspector's Report Appendix Final Schedule of Main Modifications,,arun-district-council-local-plan-2011,inspectors-report,https://www.arun.gov.uk/adopted-local-plan,https://www.arun.gov.uk/download.cfm?doc=docm93jijm4n12489.pdf&ver=12507,2026-01-30,2018-07-18,,
babergh-and-mid-suffolk-joint-local-plan-review-1,Babergh and Mid Suffolk Joint Local Plan Review,,babergh-and-mid-suffolk-joint-local-plan-review,local-plan-review,https://www.midsuffolk.gov.uk/joint-local-plan,https://www.midsuffolk.gov.uk/documents/d/asset-library-54706/babergh-and-mid-suffolk-joint-local-plan-review,2026-01-30,,,
chichester-district-council-local-plan-2021-1,Chichester Local Plan Review,,chichester-district-council-local-plan-2021,local-plan,https://www.chichester.gov.uk/planning/local-plan,https://www.chichester.gov.uk/media/41460/Chichester-Local-Plan-2021-2039-Adoption-Version/pdf/Chichester_Local_Plan_2021-2039_-_Adoption_Version.pdf?m=1756894722743,2026-01-30,2025-08-19,,
city-of-wolverhampton-council-local-plan-2006-1,Adopted Local Plan 2011-2026,,city-of-wolverhampton-council-local-plan-2006,local-plan,https://go.walsall.gov.uk/planning-and-building-control/planning-policy/current-planning-policy/black-country-core-strategy,https://go.walsall.gov.uk/sites/default/files/2022-09/Black%20Country%20Core%20Strategy.pdf,2026-01-30,2011-02-03,,
city-of-wolverhampton-council-local-plan-2042-1,Main Document WLP Reg 19,,city-of-wolverhampton-council-local-plan-2042,local-plan,https://www.wolverhampton.gov.uk/planning/planning-policies/wolverhampton-local-plan/how-to-make-representations,https://www.wolverhampton.gov.uk/sites/default/files/2024-11/Main%20Document%20WLP%20Reg%2019.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-10,Housing Topic Paper,,city-of-wolverhampton-council-local-plan-2042,local-plan,https://www.localplanservices.co.uk/wolverhamptonlpexam,https://017f5bf8-ff4d-415b-be58-79dae2836c33.usrfiles.com/ugd/017f5b_d28708419f9744828732c4fc59e15825.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-11,Gypsy & Traveller Accommodation Topic Paper,,city-of-wolverhampton-council-local-plan-2042,local-plan,https://www.localplanservices.co.uk/wolverhamptonlpexam,https://017f5bf8-ff4d-415b-be58-79dae2836c33.usrfiles.com/ugd/017f5b_4bab2544c5524ff9883c7658feec021e.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-12,Employment Land Topic Paper,,city-of-wolverhampton-council-local-plan-2042,local-plan,https://www.localplanservices.co.uk/wolverhamptonlpexam,https://017f5bf8-ff4d-415b-be58-79dae2836c33.usrfiles.com/ugd/017f5b_3e818128756748db9941862b001a6f3e.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-13,Duty to Co-operate Topic Paper,,city-of-wolverhampton-council-local-plan-2042,local-plan,https://www.localplanservices.co.uk/wolverhamptonlpexam,https://017f5bf8-ff4d-415b-be58-79dae2836c33.usrfiles.com/ugd/017f5b_abd0d68a369946478ea691e1c93b6a29.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-14,Regulation 19 Representations,,city-of-wolverhampton-council-local-plan-2042,local-plan-regulation-19,https://www.localplanservices.co.uk/wolverhamptonlpexam,https://www.localplanservices.co.uk/_files/ugd/017f5b_025ea36531814566af69d2a7b919e280.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-2,Summary Leaflet WLP Reg 19,,city-of-wolverhampton-council-local-plan-2042,local-plan,https://www.wolverhampton.gov.uk/planning/planning-policies/wolverhampton-local-plan/how-to-make-representations,https://www.wolverhampton.gov.uk/sites/default/files/2024-11/Summary%20Leaflet%20WLP%20Reg%2019.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-3,Sustainability Appraisal Non-Technical Summary WLP Reg 19,,city-of-wolverhampton-council-local-plan-2042,sustainability-appraisal,https://www.wolverhampton.gov.uk/planning/planning-policies/wolverhampton-local-plan/how-to-make-representations,https://www.wolverhampton.gov.uk/sites/default/files/2024-11/Sustainability%20Appraisal%20Non-Technical%20Summary%20WLP%20Reg%2019.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-4,Sustainability Appraisal Main Report WLP Reg 19,,city-of-wolverhampton-council-local-plan-2042,sustainability-appraisal,https://www.wolverhampton.gov.uk/planning/planning-policies/wolverhampton-local-plan/how-to-make-representations,https://www.wolverhampton.gov.uk/sites/default/files/2024-11/Sustainability%20Appraisal%20Main%20Report%20WLP%20Reg%2019.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-5,Sustainability Appraisal Appendices WLP Reg 19,,city-of-wolverhampton-council-local-plan-2042,sustainability-appraisal,https://www.wolverhampton.gov.uk/planning/planning-policies/wolverhampton-local-plan/how-to-make-representations,https://www.wolverhampton.gov.uk/sites/default/files/2024-11/Sustainability%20Appraisal%20Appendices%20WLP%20Reg%2019.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-6,Wolverhampton Policies Map WLP Reg 19,,city-of-wolverhampton-council-local-plan-2042,policies-map,https://www.wolverhampton.gov.uk/planning/planning-policies/wolverhampton-local-plan/how-to-make-representations,https://www.wolverhampton.gov.uk/sites/default/files/2024-11/Wolverhampton%20Policies%20Map%20WLP%20Reg%2019.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-7,Notice of Examination Hearings,,city-of-wolverhampton-council-local-plan-2042,examination-hearing-statement,https://www.wolverhampton.gov.uk/localplan,https://www.wolverhampton.gov.uk/sites/default/files/2025-10/Notice-of-Examination-Hearings.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-8,"Inspectors' Matters, Issues and Questions (MIQs)",,city-of-wolverhampton-council-local-plan-2042,local-plan,https://www.localplanservices.co.uk/wolverhamptonlpexam,https://017f5bf8-ff4d-415b-be58-79dae2836c33.usrfiles.com/ugd/017f5b_e5e78890568d47e1b1aa9d0d6b2f8a98.pdf,2026-01-30,,2025-03-07,
city-of-wolverhampton-council-local-plan-2042-9,Spatial Strategy Topic Paper,,city-of-wolverhampton-council-local-plan-2042,local-plan,https://www.localplanservices.co.uk/wolverhamptonlpexam,https://017f5bf8-ff4d-415b-be58-79dae2836c33.usrfiles.com/ugd/017f5b_4375074dde5b4f038fb38475de967f6d.pdf,2026-01-30,,2025-03-07,
east-riding-of-yorkshire-council-local-plan-2020-1,Adopted Local Plan 2020-2039,,east-riding-of-yorkshire-council-local-plan-2020,local-plan,https://www.eastriding.gov.uk/planning-permission-and-building-control/planning-policy-and-the-local-plan/east-riding-local-plan-update/,https://downloads.eastriding.org.uk/corporate/pages/east-riding-local-plan-update/adoption-docs/LPU%20-%20Strategy%20Document%20Update%20Adopted%202025.pdf,2026-01-30,2025-04-02,,
epsom-and-ewell-borough-council-local-plan-2007-1,Adopted Local Plan 2007-2022,,epsom-and-ewell-borough-council-local-plan-2007,local-plan,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/Core%20Strategy%202007.pdf,2026-01-30,2007-07-24,,
epsom-and-ewell-borough-council-local-plan-2022-1,Submission Statement of Fact,,epsom-and-ewell-borough-council-local-plan-2022,local-plan,https://www.epsom-ewell.gov.uk/local-plan,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/other-planning-documents/examination/SD08%20Statement%20of%20Fact%20Submission.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-10,Economy Topic Paper 2024,,epsom-and-ewell-borough-council-local-plan-2022,local-plan,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/emerging-local-plan-2022-2040/topic,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/epsom-and-ewell-local-plan/draft-local-plan-2022-2040/Topic-papers/Economy%20Topic%20Paper%20-%202024.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-11,Green Belt Topic Paper Exceptional Circumstances 2024,,epsom-and-ewell-borough-council-local-plan-2022,local-plan,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/emerging-local-plan-2022-2040/topic,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/epsom-and-ewell-local-plan/draft-local-plan-2022-2040/Topic-papers/Green%20Belt%20Topic%20Paper%20-%20Exceptional%20Circumstances%20-%202024.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-12,Housing Topic Paper 2024,,epsom-and-ewell-borough-council-local-plan-2022,local-plan,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/emerging-local-plan-2022-2040/topic,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/epsom-and-ewell-local-plan/draft-local-plan-2022-2040/Topic-papers/Housing%20Topic%20Paper%20-%202024.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-13,Meeting Gypsy and Traveller Needs Topic Paper 2024,,epsom-and-ewell-borough-council-local-plan-2022,gypsy-and-traveller-assessment,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/emerging-local-plan-2022-2040/topic,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/epsom-and-ewell-local-plan/draft-local-plan-2022-2040/Topic-papers/Meeting%20Gypsy%20and%20Traveller%20Needs%20-%20Topic%20Paper%20-%202024.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-14,Heritage Topic Paper 2025,,epsom-and-ewell-borough-council-local-plan-2022,local-plan,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/emerging-local-plan-2022-2040/topic,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/other-planning-documents/examination/Heritage%20Topic%20Paper%20-%20March%202025_Copy.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-15,Spatial Strategy Topic Paper 2025,,epsom-and-ewell-borough-council-local-plan-2022,local-plan,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/emerging-local-plan-2022-2040/topic,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/other-planning-documents/examination/Spatial%20Strategy%20Topic%20Paper%20-%20March%202025_Copy.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-2,Consultation Statement - Summary of responses received at Reg18,,epsom-and-ewell-borough-council-local-plan-2022,consultation-statement,https://www.epsom-ewell.gov.uk/local-plan-faqs,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/epsom-and-ewell-local-plan/Consultation%20Statement%20-%20Summary%20of%20responses%20received%20at%20Reg18.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-3,Examination Documents Index,,epsom-and-ewell-borough-council-local-plan-2022,examination-hearing-statement,https://www.epsom-ewell.gov.uk/localplanexamination,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/other-planning-documents/examination/Epsom%20and%20Ewell%20Local%20Plan%20Examination%20Index4%2019.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-4,Guidance Notes from the Inspector (ID-002),,epsom-and-ewell-borough-council-local-plan-2022,examination-hearing-statement,https://www.epsom-ewell.gov.uk/localplanexamination,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/other-planning-documents/examination/ID-002%20E%26E%20%20Guidance%20notesv1.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-5,"Matters, Issues and Questions (ID-003)",,epsom-and-ewell-borough-council-local-plan-2022,examination-hearing-statement,https://www.epsom-ewell.gov.uk/localplanexamination,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/other-planning-documents/examination/ID-003%20E%26E%20MIQ%20final.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-6,Post hearing letter from the inspector (ID-018),,epsom-and-ewell-borough-council-local-plan-2022,examination-hearing-statement,https://www.epsom-ewell.gov.uk/localplanexamination,https://www.epsom-ewell.gov.uk/sites/default/files/ID-018%20E%26E%20post%20hearing%20letter.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-7,Housing and Economic Development Needs Assessment 2023,,epsom-and-ewell-borough-council-local-plan-2022,strategic-housing-market-assessment,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/draft-local-plan-2022-2040/evidence-1,https://www.epsom-ewell.gov.uk/sites/default/files/EE%20HEDNA_%20Final%20Version_V2.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-8,Viability Note - Proposed Submission Local Plan - December 2024,,epsom-and-ewell-borough-council-local-plan-2022,viability-assessment,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/draft-local-plan-2022-2040/evidence-1,https://www.epsom-ewell.gov.uk/sites/default/files/documents/residents/planning/planning-policy/epsom-and-ewell-local-plan/draft-local-plan-2022-2040/evidence-base/Viability%20Note%20-%20Proposed%20Submission%20Local%20Plan%20-%20December%202024.pdf,2026-01-30,,,
epsom-and-ewell-borough-council-local-plan-2022-9,Local Plan Viability Assessment 2022,,epsom-and-ewell-borough-council-local-plan-2022,viability-assessment,https://www.epsom-ewell.gov.uk/residents/planning/planning-policy/epsom-and-ewell-local-plan/draft-local-plan-2022-2040/evidence-1,https://www.epsom-ewell.gov.uk/sites/default/files/Local%20Plan%20Viability%20Assessment%202022.pdf,2026-01-30,,,
horsham-district-council-local-plan-1,Horsham District Planning Framework,,horsham-district-council-local-plan,local-plan-adopted,https://horsham.gov.uk/planning/local-plan/read-the-current-local-plan,,2026-01-30,,,
horsham-district-council-local-plan-2011-1,Adopted Local Plan 2011-2031,,horsham-district-council-local-plan-2011,local-plan,https://www.horsham.gov.uk/planning/local-plan/read-the-current-local-plan,https://www.horsham.gov.uk/__data/assets/pdf_file/0016/60190/Horsham-District-Planning-Framework-November-2015.pdf,2026-01-30,2015-11-27,,
london-borough-of-barking-and-dagenham-local-plan-1,Barking and Dagenham Draft Local Plan Regulation 18 Consultation version,,london-borough-of-barking-and-dagenham-local-plan,local-plan-regulation-18,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2022-09/LBBD-Draft-Local-Plan-Reg-18-Consultation-version_121219.pdf,2026-01-30,,,
london-borough-of-barking-and-dagenham-local-plan-2,Issues and options report,,london-borough-of-barking-and-dagenham-local-plan,local-plan,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2022-09/Issues-and-Options-Report%20%281%29.pdf,2026-01-30,,,
london-borough-of-barking-and-dagenham-local-plan-2020-1,London Borough of Barking and Dagenham Local Plan 2020-2037,,london-borough-of-barking-and-dagenham-local-plan-2020,local-plan,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2024-10/B%26D_LocalPlan_A4_SEP24_digital.pdf,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2020-2,Appendix 2: Site Allocation Proformas,,london-borough-of-barking-and-dagenham-local-plan-2020,site-allocations,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2025-07/Barking%20and%20Dagenham%20Local%20Plan%202037%20Appendix%202%20Site%20Allocation%20Proformas.pdf,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2020-3,Policies Map,,london-borough-of-barking-and-dagenham-local-plan-2020,policies-map,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2024-10/Local%20Plan%20Policies%27%20Map%20September%202024.pdf,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2020-4,Inspectors' Report 15 August 2024,,london-borough-of-barking-and-dagenham-local-plan-2020,local-plan,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2024-08/LBBD%20Local%20Plan%20-%20Inspectors%20Report%20-%20FINAL.docx,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2020-5,Main Modifications Appendix,,london-borough-of-barking-and-dagenham-local-plan-2020,main-modifications,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2024-08/LBBD%20Local%20Plan%20-%20Main%20Mods%20Appendix%20-%20FINAL%20%282%29.docx,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2020-6,Additional Modifications,,london-borough-of-barking-and-dagenham-local-plan-2020,local-plan,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2024-10/Additional%20Modifications%20Schedule%20September%202024.pdf,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2020-7,Local Development Scheme February 2025 Update,,london-borough-of-barking-and-dagenham-local-plan-2020,local-development-scheme,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2025-02/LDS%20February%202025%20Update.pdf,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2020-8,Statement of Community Involvement Refresh - August 2020,,london-borough-of-barking-and-dagenham-local-plan-2020,statement-of-community-involvement,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2022-08/LBBD-Statement-of-Community-Involvement-Refresh-Aug-2020_0_0.pdf,2026-01-30,2024-09-18,,
london-borough-of-barking-and-dagenham-local-plan-2021-1,C1_Regulation 19 (2) Draft Local Plan.pdf,,london-borough-of-barking-and-dagenham-local-plan-2021,local-plan-regulation-19,https://yourcall.befirst.london/13753/widgets/39553/documents/21416,,2026-01-30,,,
london-borough-of-barking-and-dagenham-local-plan-2021-2,Barking and Dagenham Draft Local Plan Regulation 19 Consultation version,,london-borough-of-barking-and-dagenham-local-plan-2021,local-plan-regulation-19,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://lucmaps.co.uk/Hub_Components/10589_LBBD/LBBD%20Local%20Plan%20Reg%2019%20Consultation%20Document%20Sep%202020%20(Redsize%20V1).pdf,2026-01-30,,,
london-borough-of-barking-and-dagenham-local-plan-3,Issues and options summary,,london-borough-of-barking-and-dagenham-local-plan,local-plan,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2022-09/Issues-and-Options-Summary%20%281%29.pdf,2026-01-30,,,
london-borough-of-barking-and-dagenham-local-plan-4,Barking and Dagenham Local Plan sustainability appraisal scoping report,,london-borough-of-barking-and-dagenham-local-plan,sustainability-appraisal,https://www.lbbd.gov.uk/planning-building-control-and-local-land-charges/planning-guidance-and-policies/local-plan,https://www.lbbd.gov.uk/sites/default/files/2022-09/Barking-and-Dagenham-Local-Plan-Sustainability-Appraisal-Scoping-Report%20%281%29.pdf,2026-01-30,,,
london-borough-of-barnet-local-plan-2021-1,Barnet Local Plan 2021-2036,,london-borough-of-barnet-local-plan-2021,local-plan,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036/adoption-documents,https://www.barnet.gov.uk/sites/default/files/024574_-_bc4796_-_barnet_local_plan_2021-2036_-_web2.pdf,2026-01-30,2025-03-04,,
london-borough-of-barnet-local-plan-2021-2,Final Integrated Impact Assessment (Regulation 26),,london-borough-of-barnet-local-plan-2021,local-plan,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036/adoption-documents,https://www.barnet.gov.uk/sites/default/files/reg_26_integrated_impact_assessment.pdf,2026-01-30,2025-03-04,,
london-borough-of-barnet-local-plan-2021-3,Local Plan Adoption Statement,,london-borough-of-barnet-local-plan-2021,adoption-statement,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036/adoption-documents,https://www.barnet.gov.uk/sites/default/files/local_plan_adoption_statement_0.pdf,2026-01-30,2025-03-04,,
london-borough-of-barnet-local-plan-2021-4,Residential Design Guidance,,london-borough-of-barnet-local-plan-2021,supplementary-planning-document,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036,https://www.barnet.gov.uk/sites/default/files/assets/citizenportal/documents/planningconservationandbuildingcontrol/PlanningPolicy/SPD/ResidentialDesignGuidanceSPDoct2016.pdf,2026-01-30,2025-03-04,,
london-borough-of-barnet-local-plan-2021-5,Green Infrastructure,,london-borough-of-barnet-local-plan-2021,green-and-blue-infrastructure,https://www.barnet.gov.uk/planning-and-building-control/planning-policies-and-local-plan/barnet-local-plan-2021-2036,https://www.barnet.gov.uk/sites/default/files/assets/citizenportal/documents/planningconservationandbuildingcontrol/PlanningPolicy/SPD/GreenInfrastructureSPDOct2017.pdf,2026-01-30,2025-03-04,,
